,text,label
130,In reply to an emailed query EESL said there are more than  electric vehicles on the roads in Delhi and Andhra Pradesh. The company however did not specify the reason for the delay in procuring vehicles for government use nor deny that officials had refused to use the vehicles.,0
131,drpavithranp Hi Pavithran thank you for sharing the above details. However we also require your contact number as it will help us to get in touch with you and quickly address your concern.,3
132,prabhanjanmishr Hi Prabhanjan thank you for sharing your feedback. We've shared it with the relevant team for further consideration.,3
133,NG_Vipraajesh We really appreciate your valuable input and have shared it with our team for further consideration. ),3
134,Customer She has a small sedan that we could fit the baby in but we want two cars that have room for all of us. I'd like to check out your SUVs. We are hoping to not have to buy a minivan.,0
135,Mercedes-Benz  .0 sedan  .8 Gas  E-Class Pacode,0
136,hvaghela07 Hi Himanshu we're disappointed to know about the experience you've had. Please share your car model contact information vehicle chassis number and dealer details via DM so that our team can connect with you for quicker assistance.,3
137,Saravan06577124 Hi Saravanan we regret the inconvenience you've had to face and have forwarded your concern to the relevant team. They will soon contact you to assist further.,3
138,buyer sound great but that's expensive can you give me lower price?,0
139,arunnguptaa Hi Arun we completely understand your reason for concern. We've forwarded your details to our team and they will soon connect with you to assist further. We appreciate your cooperation in the meantime.,3
140,mukesh30singh Hi Mukesh we're disappointed to know about the experience you've had. Please share your contact information and dealer details via DM so that our team can connect with you for quicker assistance.,3
141,Tread depth less than 32 inch,0
142,"Solving puzzling riddles  FeelsLikeFun right?  
Click here to know more about the Tata Tiago s features httpst.co4DlZADkTMA httpst.co4cxQPxjHEG",3
143,ATUL_DIT Hi Atul please allow us some time to get this checked with our team and we'll get back to you soon with an update. We value your cooperation in the meantime.,3
144,tarunj2409 Thank you for sharing the requisite details Tarun. We've shared them with the relevant team and they'll soon contact you for further assistance.,3
145,Jaggy123Anant Hi Girish we request you to share your dealer name via DM as it will help us to have the relevant team connect with you and assist further. httpst.coGpX5BQutJH,3
146,shantanunaresh Hi Shantanu we would really like to know what went wrong. Please elaborate on your concern and also share your contact information and vehicle model DM so that we can assist you further. httpst.coGpX5BQutJH,3
147,kapil09833528 Hi we would really like to know what went wrong. Please elaborate on your concern and also share your contact information and car chassis number via DM so that we can better assist with your concern.,3
148,ShokeenMukesh Hi Mukesh we're disappointed to know about the experience your friend had. Please share your friend's contact information and vehicle chassis number via DM so that our team can connect with him for quicker assistance.,3
149,Versatile by its very nature the TMSC App has won over the hearts and minds Tata Motors car owners from around the country. Download the app from Google Play or App Store now!  DriveWithSOUL httpst.coQbrJvTthtY,3
150,Nissan  .553 crossover  .6 Diesel  X-Trail Haryana,0
151,Crouch in front or behind the car at a distance and check that the front and back tires line up. If they don't line up the car has an alignment problem,0
152,AKSHAYBANSAL1 Hi Akshay we never want our customers to have such an experience with us. Please share your contact details and car chassis number via DM so that our team can connect with you to assist further.,3
153,Visit all the beautiful destinations in comfort and enjoy every moment of your journey with Tata Winger  seater. (12) httpst.coCwdF82H7fh,3
154,AakashNirvan94 Hi Aakash we regret the inconvenience caused. Kindly DM us your vehicle location &amp; contact details &amp; our team will contact you.,3
155,Chrysler  .0 sedan  .4 Petrol  Sebring Katihar,0
156,To know more click- httpst.coTAnL4NU66R.  ConnectingAspirations  TigorEV httpst.cohDlWid9Slq,3
157,klnithin These are some impressive pictures Nithin! Keep sharing pictures and videos of your journeys with your SUV that's  AboveAll.  ,3
158,maymayankchawda Hi Mayank we'll surely help you with this. Please share your's and your referrals car models contact details and dealership information via DM so that our team can connect with you for quicker assistance.,3
159,? to a used car that runs like a new car,0
160,rafipatel900 Hi Rafi we're disappointed to know about the experience you've had. Please share your contact information vehicle chassis number and dealer details via DM so that our team can connect with you for quicker assistance.,3
161,Deepans10489489 Hi Deepanshu we're disappointed to hear this and would like to help you. Kindly provide your contact number and location details via DM as it will help us to have the relevant team contact you for further assistance.,3
162,GaganSi67752815 Hi Gagan we sincerely apologize for the inconvenience caused however we have responded to your concern via DM. We request you to check and acknowledge the same.,3
163,Tata made big mistake of stopping it.They should have marketed it for long trips than just city .,0
164,How do I know whether other warranties apply to the car?,0
165,RakeshC04496526 Hi Rakesh we regret the inconvenience you've had to face and have forwarded your concern to the relevant team. They will soon contact you to assist further.,3
166,Techshapers Hi Shivendra we're concerned to hear about the problems you've faced and we'd like to help you with this. Please share your contact information and dealership details via DM so we can have the relevant team assist you soon.,3
167,ashucreat Hi Ashish we're concerned to hear about the problems you've faced and we'd like to help you with this. Please share your contact information dealership details and vehicle chassis number via DM so we can have the relevant team assist you soon.,3
168,By asking this question you should be able to get more details about how the car was driven who the previous owners were and what s happened over the lifespan of the car.,0
169,DeepakKumarGoc6 Hi Deepak thank you for writing to us. As per company policy we cannot disclose any information pertaining to our future product strategies. Stay tuned to our social media handles for more information about the Tata Safari. ),3
170,Pratik_Bhartia Hi Pratik we're concerned to know about your experience and want to help you with it. Kindly share your contact number and location details via DM as it will help us connect with you for further assistance.,3
171,Do you take trade ins? Even if I owe money on my trade in?,0
172,Desh ke har kone se hai jinki pehchaan Desh Ke Truck hai unka naam.  deshketruck httpst.coVqSp5UEyJM,3
173,kulvinder1505 Hi Kulvinder kripya humein apni samasya ke baare me detail mein DM ke zariye bataayein taaki hum aapki sahayta kar sakein.,3
174, INFINITI  INFINITICanada  INFINITIQ50s  Q50s  Car  Cars  ,0
175,AbhishekDimri77 Hi Abhishek is there anything specific we can assist you with? Please let us know via DM and we'd be glad to help.,3
176,prashant18910                |                  .                              |,3
177,GautamBellare Hi Gautam we're disappointed to hear this and would like to help you. Kindly provide your car chassis number and contact information via DM as it will help us to have the relevant team contact you for further assistance. httpst.coGpX5BQutJH,3
178,"""Our website is live so why not register your details now for the new  69plate.",0
179,dineshbhatudup5 Hi Dinesh we're disappointed to know about the experience you've had. Please share your contact information vehicle chassis number and dealer details via DM so that our team can connect with you for quicker assistance. httpst.coGpX5BQutJH,3
180,Electrical System,0
181,nausainik Hi we never want our customers to have such an experience with us. Please share your vehicle model contact details car chassis number and the dealer information via DM so that our team can connect with you to assist further.,3
182,aftabmohd317                                                          |                                          |,3
183,Power unit fluid level improper,0
184,Dheerajdhanesh We really appreciate your valuable input and have shared it with our team for further consideration. ,3
185,Is it good for long distance travel?,0
186,Car Salesman OK. I will sell the car to you for that price. We would like to have your business.,0
187,AshokDurairajan Hi Ashok we're concerned to know about your experience and want to help you with it. Kindly share your contact number car chassis number and the dealer details via DM as it will help us connect with you for further assistance.,3
188,We are specialist trained car buyers and can assist with locating an everyday corolla or a rare exotic such as Ferrari or Lamborghini. We deal in just about every make and model however % of our request are for the following brands. ( Acura BMW Lexus Toyota Nissan Mercedes ),0
189,Mitsubishi  .0 crossover  .0 Gas  Pajero Wagon Bihar,0
190,Dogtracks - bent or twisted frame,0
191,Any of the serious problems that used cars may have such as,0
192,Land Rover  .0 crossover  .0 Diesel  Range Rover Sport Tamil Nadu,0
193,Car Buyer What about Ciaz?,0
194,fjjgkb Hi do let us know the specifics of your query for us to take this forward.,3
195,Raj9111 Hi Raj we understand that our team has connected with you through a call and has taken your concern forward. Rest assured that it will be resolved soon. We appreciate your patience in the meantime.,3
196,sac_kaushik Hi Nirbhay please allow us some time to get this checked with our team and we'll get back to you soon with an update. We value your cooperation in the meantime.,3
197,Kept an average speed of kmh was quite comfortable.Did have some breaks in between for food otherwise drove for about  hours.,0
198,sid_agrawal07 Hi Siddhant we have shared your issue to the concerned team. They will contact you on priority.,3
199,Rahul_2429 Hi Rahul we trust that our team has provided you with  Kms cab facility from Srinagar to Leh. As per the RSA policy we can either provide accommodation or the cab facility. (13),3
200,"""Time to Upgrade your old Car then take a look at our latest Vauxhall Mokka X Car Lease Deals  ",0
201,raviranjan_2oct Hi Ravi thank you for sharing the above details. However we also require your contact number as it will help us to get in touch with you and quickly address your concern.,3
202,rajanjil98 Thank you for sharing the requisite details Rajnish. We've shared them with the relevant team and they'll soon contact you for further assistance.,3
203,rajeefmk Hi Muhammed we are glad to hear that your concern has been resolved. If you require any further assistance feel free to get back to us and we'd be happy to help.,3
204,dineshbhatudup5 You're most welcome Dinesh. We're glad that your concern has been resolved. Do let us know if you need any other assistance and we'd be glad to help you.,3
205,Get the process started today  ,0
206,Improperly functioning water pump,0
207,arshpath Hi Arshit stay tuned to our website and social media pages to catch the latest updates. httpst.coGpX5BQutJH,3
208,Car Salesman We do want your business sir.,0
209,Mercedes-Benz  .0 van  .2 Diesel  Vito  . Chhapra,0
210,Manusahni8 Hi Manu we regret the inconvenience caused. Kindly DM us your vehicle variant location &amp; contact details &amp; our team will contact you.,3
211,Rahul11600830 Hi Rahul we understand that our team has connected with you through a call and has taken your request forward. Rest assured that it will be resolved soon. We appreciate your patience in the meantime.,3
212,The clutch may act as a third wheel and ruin a perfect date between you and an effortless drive. But does it have to? Visit httpst.coIu9omfjS2E to  SkipTheClutch and turn your daily commute into a treat with the New Tigor Automatic (AMT)  TheSedanForTheStars httpst.cozeGbqdtEpl,3
213,Bharat958663722 Hi Bharat we have shared your issue to the concerned team. They will contact you on priority.,3
214,Our hearts are split between these places.  DEN??ATX.  enoughsaid  muffin  newplate  newcar nrp jpaulsen_ tr3vpaul  ,0
215,sarcasticsharif Hi Hussain we have received your DM and trust that your concern has been addressed. Do let us know if you need any further assistance and we'd be glad to help.,3
216,"""RT AMTAutoUK Our expert leasing consultant shares why more people are leasing cars. ",0
217,Initially due to lack of charging infrastructure the supply of electric variants of Mahindra s Verito and Tata Motors  Tigor was delayed.,0
218,Battery capacity was not up to the mark compared to global standards the official told the newspaper requesting anonymity.,0
219,Mitsubishi  .0 sedan  .4 Gas  Galant Jharsuguda,0
220,"""Boy it would be nice if you could just pick the car you like buy it and drive off... but slow down! Make sure you  ",0
221,amandhayal Hi Aman we'd really like to look into the concern you've raised. Please share your  contact details car chassis number &amp; dealer information via DM so that we can connect with you for further help. httpst.coGpX5BQutJH,3
222,Honda  .0 vagon  .4 Gas  Accord Tulsipur,0
223,"""Is summer holiday fun impacting on you buying a new car? We can help you finance your new vehicle.",0
224,Mercedes-Benz  .0 sedan  .8 Gas  E-Class Maharashtra,0
225,"""RT IDI0TSYNCRATIC Alex dies in the sun Rulex_19 accidentally wins $20 brandonkarlis ACTUALLY SHOWS UP Amanda is Forest Gump and Just ""1",0
226,"Breathtaking in ways unimaginable Spiti and Ladakh are the playgrounds of true adventurers. Join SOUL Iconic Ladakh Drive before the registrations end on th June. Book now httpst.coMizXQzb1FM

 DriveWithSOUL  ReclaimYourLife  AboveAll  HexaExperience httpst.co3hDHqc1twl",3
227,utsavsharma2311 Hi Utsav thank you for writing to us. We would like to inform you that the current engine of the Harrier is BS4 complaint &amp; compatible with BS6 fuel. For more information click here httpst.cofXughMk1Fm.,3
228,Our used cars inspection are made available to our customers.,0
229,sumitma12091990 Hi Sumit we're disappointed to know about the experience you've had. Please share your contact information car model and vehicle chassis number via DM so that our team can connect with you for quicker assistance. httpst.coGpX5BQutJH,3
230,Govind771983 Congratulations on purchasing the Tata Tiago. We welcome you to the Tata Motors family. ),3
231,How about resale value? Company executive said Tata has stoping nano productions and it will going to discountinue. Suggested to buy other instead of this.,0
232,If they recently purchased the vehicle and they are already selling it take note as this could mean they ran into problems with car.,0
233,kuldeepsi78 Hi Kuldeep we're disappointed to hear this and would like to help you. Kindly provide your car chassis number and contact information via DM as it will help us to have the relevant team contact you for further assistance. httpst.coGpX5BQutJH,3
234,Check that all doors including the trunk and hood open and close easily.,0
235,How much do you charge if I would like to locate a vehicle?,0
236,"By encouraging you to navigate twists and turns in the quest for glory your dad powered you to success.  To all dads out there Altroz wishes a Happy Father s Day.  UrbanCarRedefined  

Click on the link to know more httpst.coip1msiJ7QT httpst.co2CYjCtPgNQ",3
237,stayconnekt Hi Vinay we have shared your issue to the concerned team. They will contact you on priority.,3
238,"""Your Turn To Shine Laura!",0
239,Structural or mechanical parts damaged,0
240,Get heightened performance and intensified productivity with Tata INTRA s top speed of  kmh. Find more details here httpst.cod1V50kD1fF  TataIntra  Indias1stCompactTruck httpst.co3ZHDsN9my5,3
241,Aashush93166561 Hi Aashu this is a fake letter. We are aware of the issue and have duly reported the same.,3
242,No it should not be problem if you go in the company.In private garages it may not be available.,0
243,sakshamsonepat We bet that was an amazing adventure Kaushik! Keep sharing more pictures and videos of your journeys with the  LevelNexSUV. ),3
244,kumarpiyush1389 Hi Piyush we're disappointed to hear this and would like to help you. Kindly provide your contact information via DM as it will help us to have the relevant team contact you for further assistance. httpst.coGpX5BQutJH,3
245,tyagiji78 Hi Manoj we suggest you visit your nearest Tata Motors service center to get the best guidance as per your query. To locate your nearest service center please click the link here httpst.cov4cvJhDmnT.,3
246,SurajP51159234 Hi Suraj we sincerely apologize for the inconvenience caused however we have acknowledged your concern via Facebook and have forwarded it to our team. Rest assured that it will be resolved at the earliest.,3
247,Umairbaig Hi Umair thank you for sharing your contact number. Our team has been informed of this and shall soon connect with you to assist further.,3
248,Shubham61691897 Hi Shubham to explore career opportunities with us kindly submit your resume here httpst.coF0770P1gGt,3
249,BDinup Hi Dinup we sincerely apologize for the inconvenience caused. We've shared your concern with our team and they will soon connect with you to assist further.,3
250,Differential,0
251,Pradeep22254231 Thank you for explaining your concern in detail Pradeep. We've informed our team about this and they'll soon contact you to assist further.,3
252,Toyota  .0 crossover  .5 Diesel  Land Cruiser  Chhattisgarh,0
253,"""When Buying New Do Talk to Your Insurance Agent about Rates?? ??",0
254,"""From a commute-ready work horse to the car that makes your summer Honda makes it and Rock Honda is here to hook  ",0
255,"Have you got what it takes to answer this riddle?  
Click here to know more about the Tata Tiago s features httpst.co4DlZADkTMA
 FeelsLikeFun httpst.coCMyVu1XUIT",3
256,"""RT AMTAutoUK How does leasing work? From initial contact through to getting your new car we tell you exactly what to expect. Find out mo ""1",0
257,Kaisa bhi ho mausam aur jaisa bhi ho terrain Desh ke Truck bas aage badhein.  deshketruck httpst.coy1ysopLyhf,3
258,When the journey is comfortable traveling becomes even more enjoyable. (12) httpst.coN5GOrvDsLK,3
